DrugBank ID,Common name,SMILES
DB00190,Carbidopa,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
DB00191,Phentermine,CC(C)(N)Cc1ccccc1
DB00192,Indecainide,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
DB00193,Tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1
DB00194,Vidarabine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195,Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00196,Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
DB00197,Troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
DB00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200,Hydroxocobalamin,CC1=C2[N]3[C@@H]4[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c5cc(C)c(C)cc52)[Co-3]325([OH])[N+]3=C1[C@@H](CCC(N)=O)C(C)(C)C3=CC1=[N+]2C(=C(C)C2=[N+]5[C@]4(C)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O
DB00201,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
DB00204,Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205,Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00206,Reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
DB00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208,Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1
DB00209,Trospium,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
DB00210,Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
DB00211,Midodrine,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
DB00212,Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
DB00213,Pantoprazole,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
DB00214,Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
DB00215,Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB00216,Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
DB00217,Bethanidine,C/N=C(\NC)NCc1ccccc1
DB00218,Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB00219,Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00220,Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
DB00221,Isoetharine,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
DB00222,Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
DB00223,Diflorasone,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB00224,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
DB00225,Gadodiamide,CNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NC)CC(=O)[O-])CC(=O)[O-].[Gd+3]
DB00226,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,Lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DB00228,Enflurane,FC(F)OC(F)(F)C(F)Cl
DB00229,Cefotiam,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
DB00230,Pregabalin,CC(C)C[C@H](CN)CC(=O)O
DB00231,Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00232,Methyclothiazide,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB00233,Aminosalicylic acid,Nc1ccc(C(=O)O)c(O)c1
DB00234,Reboxetine,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1
DB00235,Milrinone,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
DB00236,Pipobroman,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DB00239,Oxiconazole,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB00240,Alclometasone,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
DB00241,Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
DB00242,Cladribine,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
DB00243,Ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00244,Mesalazine,Nc1ccc(O)c(C(=O)O)c1
DB00245,Benzatropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
DB00246,Ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00247,Methysergide,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
DB00248,Cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB00249,Idoxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
DB00250,Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
DB00251,Terconazole,CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
DB00252,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00253,Medrysone,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
DB00254,Doxycycline,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
DB00255,Diethylstilbestrol,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00256,Lymecycline,CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
DB00257,Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
DB00258,Calcium acetate,CC(=O)[O-].CC(=O)[O-].[Ca+2]
DB00259,Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1
DB00260,Cycloserine,N[C@@H]1CONC1=O
DB00261,Anagrelide,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
DB00262,Carmustine,O=NN(CCCl)C(=O)NCCCl
DB00263,Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
DB00264,Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1
DB00265,Crotamiton,CC=CC(=O)N(CC)c1ccccc1C
DB00266,Dicoumarol,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
DB00267,Cefmenoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
DB00268,Ropinirole,CCCN(CCC)CCc1cccc2c1CC(=O)N2
DB00269,Chlorotrianisene,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
DB00270,Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
DB00271,Diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
DB00272,Betazole,NCCc1ccn[nH]1
